"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"
2	1631	1431	434	15	36	1803	603	11150	5130	550	1260	78	92	13.3	24	8543	67
2	279	276	126	17	37	600	435	6844	2980	500	500	45	55	11.7	38	5073	44
2	1754	1465	505	24	49	2159	211	13712	6408	526	1100	90	96	9.3	18	12751	75
2	461	381	174	10	43	738	55	9600	4550	600	750	55	94	13.3	43	7863	51
2	619	516	219	20	51	1251	767	11208	4124	350	1615	55	65	12.7	25	6584	65
2	2220	1796	467	65	99	1919	334	10320	4762	450	650	68	100	14.2	20	7788	65
1	6040	4577	1620	36	72	5640	266	4856	3416	400	1100	69	72	15.7	13	6601	76
2	8506	4168	1236	76	97	5544	192	17600	6000	600	870	97	98	5	28	28457	96
1	2172	1493	564	14	50	2766	1531	5962	4316	650	500	71	76	16.9	14	5719	50
2	379	324	107	15	37	500	311	9990	4900	400	600	44	47	12.1	26	4948	33
1	5042	2312	944	55	94	5167	902	5391	5411	700	1000	81	87	14.4	6	8504	81
1	3073	2672	1547	9	29	9649	1792	4300	2643	450	1660	57	68	19	11	5801	68
2	2161	1951	685	56	82	2371	175	13440	4048	600	1250	92	95	13.5	28	12940	82
1	4800	2900	1515	14	48	7764	1472	6874	2394	518	1890	73	78	19.2	14	5901	56
2	692	514	209	20	50	760	81	9900	3990	400	900	76	71	13.3	19	9073	58
1	1208	877	546	12	36	3796	824	4425	2700	660	1800	57	62	19.6	16	3752	46
2	380	237	104	30	56	716	1108	11000	5550	500	500	36	41	7.8	22	7483	96
1	2281	1870	1408	18	43	6553	1246	4680	3540	200	2150	75	76	17.1	8	5916	45
2	458	369	165	16	42	1057	355	11190	4800	450	1230	60	60	13.6	22	8135	54
1	1208	803	438	20	48	1906	344	6810	3970	450	1647	67	75	15.9	26	5712	59
2	444	359	122	34	53	493	968	10900	5250	380	1000	68	70	11.4	23	9447	78
2	5187	4471	446	3	14	1818	1197	13320	4630	500	800	50	56	17.6	16	6418	51
2	2227	1790	437	27	54	1460	239	13425	4425	450	1200	85	89	13	26	9405	72
1	480	405	380	19	46	1673	1014	4386	2217	600	1500	49	54	15.8	8	5704	63
2	616	514	385	29	52	1115	60	9840	2820	450	822	59	59	14.8	20	6261	58
1	2119	1264	390	5	33	2478	1441	6550	4760	1125	1362	80	100	14.9	8	8170	46
2	1732	1425	472	37	75	1830	110	16548	5406	500	600	82	88	11.3	31	10932	73
2	321	318	172	11	27	620	280	7536	3736	430	1651	44	77	13	12	5309	36
1	5659	4761	3147	10	31	8596	1949	6892	3706	600	2500	72	76	16.6	8	6996	40
2	374	280	185	45	77	995	408	8550	4050	500	1344	75	75	12.6	17	7237	62
2	681	588	246	44	74	1058	73	10760	6230	500	1200	85	93	13.4	26	8731	63
2	355	300	142	34	65	509	44	8664	3350	600	3000	65	68	10.7	25	8954	65
2	1445	966	326	46	83	1129	24	15350	4080	450	810	89	93	10.3	52	18784	82
2	150	130	88	23	50	341	768	10300	4130	500	1700	44	58	10.2	37	9678	75
1	11223	5285	2082	32	72	9652	742	7994	4544	500	732	77	81	17.9	29	5212	98
2	7700	3700	1906	79	96	7671	30	16850	4400	600	1350	96	92	13.1	46	13936	97
2	776	607	198	25	58	791	764	14340	5285	500	1000	58	83	11.7	39	10961	74
2	2135	1700	491	23	59	1708	689	12000	5920	500	500	93	93	13.8	30	7100	88
2	838	651	159	11	25	654	162	8640	3700	400	1915	62	62	12.2	13	7634	48
2	1947	1580	523	39	74	1863	233	13900	4140	750	1500	90	90	10.6	7	8923	57
2	632	494	129	17	36	709	131	9000	4850	300	2480	78	85	13.2	10	7550	52
2	1093	1093	642	12	32	1770	967	7070	2500	400	1000	52	54	15.9	13	4718	71
2	440	407	149	35	70	643	80	12050	3700	500	900	63	76	10.2	31	10965	75
2	780	628	198	7	20	545	42	11750	2700	400	850	77	83	14	24	6475	76
1	529	481	243	22	47	1206	134	4860	3122	600	650	103	88	17.4	16	6415	43
2	1006	742	275	29	60	1127	205	13925	4390	500	2200	73	86	12.7	32	10141	67
1	1734	1729	951	12	52	3602	939	3460	2650	450	1000	57	60	19.6	5	4739	48
2	809	726	294	27	52	1271	43	12500	4130	400	1050	53	53	13.5	22	7136	52
2	627	556	172	16	40	777	538	9925	4135	750	1350	59	67	22.4	11	6523	48
2	2267	1827	611	20	59	2825	144	6735	3395	600	1425	70	74	12.2	7	10872	65
2	608	494	176	10	31	649	314	8330	3770	550	1300	64	80	13	31	7949	39
2	3646	2300	585	25	69	2022	926	12170	6172	480	800	79	79	13	30	7495	97
2	979	638	271	31	70	968	20	16880	3970	920	1320	91	94	10.7	19	15687	77
2	3035	1546	438	42	93	1630	232	18740	6300	600	500	86	95	10.7	40	14773	91
2	81	72	51	33	71	139	3	8730	3600	400	800	92	92	9.3	17	10922	58
2	663	562	127	20	40	641	63	5640	3620	600	750	89	89	13.2	17	7309	31
2	1107	859	323	13	51	1452	402	11040	4500	600	700	65	76	11.8	30	9034	66
2	860	688	285	32	70	1928	442	13306	3797	450	950	62	69	8.8	10	6333	78
2	563	247	247	23	52	1427	432	12950	5300	612	576	72	74	12.4	17	8985	60
2	2459	1997	582	36	66	2664	299	16320	5326	646	1171	87	94	11.2	14	13706	65
1	5549	3583	853	9	40	5004	475	6550	4176	600	1380	80	90	17.9	16	6174	65
2	587	479	158	38	62	678	41	13500	3335	500	675	67	73	9.4	11	9727	55
2	1768	1249	380	51	93	1263	11	16900	5680	450	750	89	89	19	33	12837	79
2	1038	839	227	30	63	973	306	15595	4400	300	500	79	84	11.3	23	11644	80
2	516	409	200	17	40	1238	30	8770	3500	450	700	58	58	17.3	17	6430	70
1	8681	6695	2408	10	35	15701	1823	7799	3403	537	2605	77	84	21	16	5569	54
2	1879	1658	497	36	69	1950	38	13353	4173	540	821	78	83	12.7	40	9220	71
2	3151	2584	958	14	40	4772	856	7800	3750	570	3020	37	43	16.5	4	12878	44
2	325	260	86	21	47	699	717	9600	4202	450	750	39	69	10.5	15	7164	68
2	1858	1221	480	37	68	1620	49	8050	3940	350	2375	80	80	16.3	17	10511	63
2	3712	2153	806	17	45	2677	714	12030	6140	1000	500	63	73	12	33	8847	86
2	672	596	278	29	60	1350	275	11844	3696	450	1146	54	76	11.6	33	8996	72
1	3041	2581	1173	16	56	6441	3982	9114	4030	400	650	88	90	19.7	13	6637	53
2	2308	1336	295	22	46	1202	942	8530	3644	616	1576	56	64	14.9	25	7114	37
2	489	384	120	23	52	700	45	10575	3952	400	620	46	24	13	9	8946	98
1	2409	1939	759	17	50	3819	1347	6900	2800	475	1200	81	89	22.2	1	5968	46
2	1310	983	316	5	35	1057	175	8550	5050	400	900	35	67	17.4	16	4333	27
2	3140	1783	454	40	82	1646	24	19700	5050	300	800	91	96	9.6	60	17761	91
2	280	143	79	5	27	327	110	5590	2900	650	1952	53	63	15.1	4	4839	90
1	14901	10932	4631	36	80	23945	2200	9096	4290	535	1545	93	96	11.5	20	11006	72
1	9735	7187	2064	23	63	12478	1660	11656	5072	700	2300	89	95	16	16	10178	71
1	7473	5372	3013	27	53	15749	3237	5764	3262	750	3300	86	92	16.5	22	8612	53
2	1681	1069	344	35	63	1235	30	16249	5699	500	1998	84	92	13.6	29	11778	52
1	5653	4326	1727	17	29	9528	3822	10800	4840	580	1050	93	96	19.3	7	6751	46
1	689	561	250	15	30	1125	422	7168	3689	600	1900	67	67	18.1	9	4417	46
2	20192	13007	3810	45	80	14971	3113	18420	6810	475	1025	80	81	11.9	16	16836	72
1	5191	4134	1500	15	44	7532	1847	8677	3505	600	1300	75	94	15.5	17	7392	53
1	3440	2823	1123	16	35	3793	486	6198	3320	500	2500	89	97	19.1	6	4362	46
1	7589	4676	1876	29	63	14770	10962	6760	3776	500	2180	84	89	17	7	11020	47
2	874	758	428	21	46	1605	246	9858	3700	450	1200	42	45	17.6	16	4796	55
1	19152	12940	4893	66	92	22045	1339	15732	4659	476	1600	90	98	11.5	26	14847	87
2	2496	1402	531	53	95	2121	69	17926	8124	600	850	83	93	10.3	33	12580	91
2	443	330	151	5	36	453	42	14080	6270	500	900	57	80	10.2	21	15387	46
2	1205	984	278	31	50	1071	98	14510	5340	500	1400	84	91	12.5	39	10026	60
2	1011	604	213	17	42	693	868	8900	4600	425	1000	87	96	13.9	25	7922	55
2	544	399	177	15	35	600	363	6987	3585	750	1500	77	83	12.5	12	9067	75
2	2153	1580	321	56	84	1192	87	18432	5616	520	660	93	97	10.2	28	14907	83
2	4019	2779	888	40	73	3891	128	13584	5928	630	1278	88	92	13.9	19	10872	100
2	3014	2539	487	31	68	1889	62	18700	5000	595	1250	87	94	11.2	39	13861	87
2	318	240	130	40	85	416	19	14900	5550	600	500	93	98	8.3	42	13935	69
2	1110	930	332	18	36	1603	374	8180	4270	500	500	65	58	15.2	12	5664	29
2	665	462	226	17	44	1739	1550	9160	4340	500	500	68	68	20.6	14	6951	48
2	2652	1900	484	44	77	1707	44	17080	4440	400	600	73	91	9.9	41	11711	76
2	8256	3750	1522	37	70	5809	4379	11000	5160	660	1115	90	95	13.8	10	10059	62
1	950	713	351	42	72	1276	9	14320	5304	490	1410	77	77	14.9	17	8837	87
2	4471	2942	910	29	60	3674	493	11584	5986	650	800	83	83	14.1	41	9131	92
2	460	340	167	14	45	604	350	10740	3676	350	900	67	71	11	27	7963	74
2	213	155	75	28	66	504	147	7200	3532	550	1500	56	56	11.8	12	7818	52
1	2729	2535	1257	8	29	4787	472	3735	3136	250	1630	62	65	21.7	23	5284	54
2	6348	2999	922	68	94	3340	39	18930	6380	500	1254	99	99	5.3	36	36854	90
2	369	312	90	12	46	396	526	11400	5400	500	760	41	85	9.5	20	9583	24
2	1320	923	284	26	54	1085	81	16304	3616	355	715	87	95	11.1	26	12957	69
2	1399	1026	308	44	77	1131	17	14900	5160	500	800	82	85	11.6	40	12082	79
2	1611	960	342	27	60	1089	210	13850	3920	470	810	80	97	13.2	30	10223	96
2	1416	1015	417	10	44	1324	117	13500	5800	585	1700	67	78	13.2	23	9006	75
2	457	356	177	35	61	667	1983	11180	5620	600	700	64	64	11.5	32	7477	75
2	662	513	257	12	30	2074	726	11902	4372	540	950	65	65	12.8	31	7836	58
2	983	664	249	23	57	1698	894	9990	5666	800	1500	66	71	14.3	28	6084	64
1	1660	1091	326	15	41	1196	33	4818	3400	350	1400	71	72	12.6	8	10912	45
2	1133	630	220	37	73	750	30	17688	5900	650	850	100	100	10.4	11	14820	73
1	19873	8252	3215	95	100	19532	2061	11648	6246	636	1933	93	97	15.8	10	13919	78
2	4293	2728	591	25	62	2322	263	18710	5970	500	700	87	92	12.7	29	14837	81
2	404	400	169	28	48	797	100	6000	3000	500	500	48	57	13.4	14	5557	61
2	2936	2342	669	35	62	2502	66	15990	4080	600	825	73	78	14.5	31	9979	83
2	713	661	252	25	44	712	23	15476	3336	400	1100	69	82	11.3	35	42926	48
1	2996	2440	704	2	30	3006	338	5587	4845	500	600	61	63	16	11	5733	31
2	1432	920	548	56	84	2200	56	11480	4200	530	1400	81	83	12.7	40	11916	85
1	8586	6383	2503	25	59	13138	4289	10786	4560	400	900	93	93	7.8	10	13789	66
2	599	494	224	8	28	1035	446	10518	6250	300	300	59	76	16.5	36	7117	71
2	12229	8498	2477	45	71	13259	1429	17230	6482	600	2210	90	94	11.4	10	17007	68
1	11054	6397	3524	26	55	16502	21836	8949	3744	714	2910	88	90	12.2	37	16122	45
2	1712	1557	696	41	68	2936	433	11750	4160	1200	2350	94	96	11.5	10	11743	47
1	9643	7751	1968	12	40	8894	2456	10330	5558	500	1250	84	89	16.6	7	9158	63
1	1455	1064	452	1	16	2632	617	6806	2550	350	766	75	75	15.1	10	6972	24
1	15849	5384	2678	74	95	11278	114	12212	3792	500	1000	90	92	9.5	22	13597	95
1	1257	940	363	9	22	1547	294	7656	4690	400	700	89	91	14.7	8	6318	79
2	2115	1540	494	28	72	2993	347	12825	4375	500	1500	85	85	12.2	16	10175	89
2	589	575	148	16	40	474	258	8400	3250	500	1400	63	55	12.4	14	6535	68
2	462	402	146	36	68	527	41	14500	6000	500	600	91	99	6.5	48	18953	61
2	1597	969	226	16	38	1431	1522	13540	5050	630	2298	66	68	14.1	23	10139	47
2	1470	900	287	20	49	1130	417	10900	5100	500	550	70	81	15.7	14	7804	68
2	13218	2042	1153	90	98	4540	146	19900	5910	675	1575	91	96	8.4	54	28320	99
2	845	734	254	5	21	662	351	7600	3800	600	1200	59	74	19	40	5096	39
2	2083	1725	430	22	49	1464	67	17480	4780	500	700	75	87	12.3	32	11625	73
2	2967	2836	876	30	60	3450	644	10628	4372	650	2055	85	90	6.5	32	22906	85
2	878	816	200	16	41	706	62	8740	3363	550	1700	62	68	11.6	29	7718	48
2	1756	1360	478	42	77	1911	626	14550	4620	500	700	80	88	12.3	26	12851	56
1	5996	4993	3079	29	57	16269	3757	5925	2980	600	2242	83	87	15.9	11	6741	37
2	2075	1727	520	49	81	2501	198	11800	3260	500	800	87	89	14.2	23	9681	95
1	18114	15096	6180	23	57	26640	4120	10658	3734	504	600	93	95	14	9	10520	71
1	2593	1966	1030	9	32	6038	579	6704	2592	376	1750	78	78	21	17	6254	65
2	817	644	307	20	40	945	1	13218	4773	660	600	95	97	13.3	53	12263	69
2	1339	1107	336	12	36	1051	82	9400	4200	500	1600	53	58	12.5	9	7967	22
1	3306	2079	1071	42	89	10208	9310	6597	2494	800	3028	81	96	13.9	20	6722	66
1	833	669	279	3	13	1224	345	7656	4690	500	624	80	91	14.4	15	6564	36
2	2848	1319	456	58	84	1720	35	18930	5590	500	1000	83	94	10.2	41	15954	91
2	2096	1626	694	35	67	2551	407	11800	4340	700	960	60	81	15.8	26	7780	77
2	922	729	244	37	66	1000	275	14067	4560	400	1000	75	95	10.6	34	12165	79
2	174	146	88	8	29	1047	33	8300	3080	600	600	62	62	15.2	18	3365	58
1	3330	2730	1303	15	36	6706	2640	5800	3000	600	2200	73	75	14	9	9825	42
2	1576	1110	274	24	55	992	112	8000	3700	400	500	51	52	14.1	28	5807	51
2	2753	1820	505	31	56	1801	45	18720	5730	650	825	90	94	11.5	38	14980	85
2	4414	1500	335	30	60	908	119	5666	2964	1000	1400	56	58	15.5	7	5970	46
2	8728	5201	1191	60	89	4265	291	17900	5690	450	1250	86	93	9.2	31	24386	74
2	1747	1382	449	34	66	1662	960	13050	4000	500	800	64	69	12.1	27	9557	83
2	2974	2001	580	29	60	2666	554	15192	4695	400	1350	84	91	15.9	21	11762	67
2	467	424	350	16	40	1365	334	6300	2980	700	2140	75	79	13.7	10	7054	38
2	348	281	127	12	52	1095	785	9150	3950	500	800	56	59	12.2	27	7348	76
1	1757	979	394	32	74	2033	1078	5972	3420	600	750	77	83	13	11	7011	37
2	437	400	211	13	35	614	271	8990	3064	500	1700	73	73	14.8	7	7881	48
2	2925	1598	632	51	88	2479	95	18820	6390	500	1050	85	97	10.3	44	21199	90
1	9750	7640	2529	24	62	10358	1338	11180	3862	650	2450	89	87	17.5	16	7855	75
1	13528	9198	1843	16	61	10168	1231	6550	4355	700	1560	93	96	17.4	16	9075	74
2	3050	1342	471	55	86	1818	23	14360	4090	400	650	77	92	12.9	34	9605	83
2	10477	7260	2442	28	67	10142	117	15150	6870	635	960	73	84	11.3	13	14231	67
2	3466	2330	640	20	60	3095	1533	13800	5510	630	850	87	87	17.5	20	10941	82
1	15712	11719	4277	29	53	18511	604	10260	3176	740	2200	85	89	13.8	20	8944	73
2	12394	5232	2464	85	100	9205	531	17020	7270	500	1544	95	96	6.3	38	25765	93
2	3596	2466	575	42	78	1944	46	19964	4328	500	500	94	95	12.1	32	14720	83
2	587	501	211	28	52	735	28	15200	4100	350	650	87	90	9.4	49	12472	64
1	4255	3277	1609	18	57	10094	1621	9866	3084	480	1479	77	77	15.9	20	6223	53
2	692	576	174	19	50	597	83	10500	3860	600	940	58	64	11.6	19	8990	39
2	7122	5386	1643	42	69	7760	876	16500	6526	630	1985	82	94	5.9	17	17500	59
1	434	412	319	10	30	1376	237	4486	2146	600	2000	50	64	16.5	28	4525	46
2	740	558	177	12	29	628	63	9620	3750	550	950	49	55	10.8	33	10642	59
2	1496	1205	428	26	57	1648	936	12888	4440	420	840	62	68	13.9	30	8802	87
2	291	245	126	16	49	981	337	8390	4100	350	1500	45	55	21.5	24	4607	62
2	759	729	244	57	81	867	51	10900	4450	500	1000	81	91	12.1	41	10219	70
2	213	166	85	13	36	513	247	8670	3820	450	1000	43	78	12.5	4	7440	48
2	1380	768	263	57	82	1000	105	19300	6694	600	700	89	93	6.1	18	14779	83
2	469	435	227	17	39	851	120	10535	4365	550	3700	39	66	12.9	16	7438	52
