"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"
2	571	461	174	10	26	645	283	10850	3670	400	1159	58	60	12.8	19	7505	56
1	967	945	459	15	48	2806	538	4528	1880	500	1200	49	63	17.1	16	5113	58
2	1011	829	410	9	33	1059	2458	9000	3100	450	1413	77	78	12.4	7	11178	42
2	700	650	314	33	66	1065	48	8730	3523	500	750	82	92	13.2	35	9303	67
2	13789	3893	1583	90	98	6188	53	18590	5950	625	1162	95	96	5	44	27206	97
2	1358	1006	274	35	63	1028	13	15036	4056	600	600	90	94	10.6	46	14634	78
1	9274	6362	2435	14	44	13171	1687	7248	3240	500	1700	74	78	13.2	18	9002	58
2	2417	1843	426	36	70	1476	299	14190	4400	500	750	65	68	12.8	25	9815	81
1	1256	1256	853	43	79	3957	588	5401	3144	450	1888	72	75	19.3	4	5527	50
2	4784	3346	781	30	66	2984	1037	15000	6200	700	1100	86	90	15.1	30	11220	94
2	1415	714	338	18	52	1345	44	5120	3200	500	2140	52	60	18.1	9	3930	69
2	1381	1040	374	20	44	1506	970	8025	4865	400	650	65	74	17.4	10	6339	68
1	11651	8683	3023	50	90	18906	3242	6680	4060	600	1020	80	89	23.1	15	7250	58
2	4200	2874	942	30	55	4740	1646	14235	6965	600	1735	86	97	14.4	14	10864	80
2	553	452	228	22	49	1301	242	9650	4400	600	1000	57	69	14.9	8	6336	83
2	804	632	281	29	72	840	68	10390	4040	525	1345	54	78	12.5	37	11751	60
2	2464	1908	678	24	57	2693	691	10970	4280	500	1380	47	51	13.3	18	7711	65
2	1886	1524	526	31	67	2523	296	13000	4450	600	2400	78	90	14.7	32	9553	69
2	674	565	282	25	54	1151	39	12200	4070	400	1200	73	82	14.2	32	9226	66
2	440	396	221	26	51	910	166	9420	3730	600	1230	51	56	9.9	46	10270	72
2	1151	813	248	40	64	850	80	15588	6174	500	1200	78	90	9.2	34	16623	77
2	555	414	242	14	41	996	2281	9100	3100	550	880	51	61	23.6	24	5609	47
1	5165	3887	1561	20	60	8234	2619	6108	3800	500	1000	64	66	20.6	9	5063	57
2	510	387	194	20	46	771	53	10310	4530	400	800	57	61	14.3	16	8222	60
2	2039	1389	432	56	91	1333	30	15688	4618	400	400	88	92	9.5	54	18979	83
2	1202	1054	326	18	44	1410	299	13404	5160	450	1050	78	86	15.6	30	9114	65
2	1709	1385	634	36	72	2281	50	14125	3600	400	700	79	89	12.5	58	9907	80
2	920	745	347	35	66	1133	42	11090	4700	400	750	80	80	12	31	12639	79
2	2688	2081	500	25	53	1792	5	19029	5841	600	600	99	99	12.1	37	13040	79
2	699	565	176	36	64	710	399	13960	6040	450	690	82	88	14.4	34	12434	72
2	1712	1483	624	37	69	2505	208	12275	4341	465	1100	72	81	12.5	40	9284	72
2	949	786	302	30	70	1210	26	9990	3550	500	1500	85	90	15	24	8187	67
2	608	520	127	26	47	538	126	8080	3920	500	1100	63	72	11.4	9	7703	44
2	894	787	262	28	63	909	28	8050	3850	600	1000	75	75	15.6	30	7348	52
2	268	253	103	16	44	494	1305	10000	5364	500	1000	56	64	11.2	33	7305	69
1	16587	13243	5873	25	72	24763	2717	9766	3990	600	2000	77	88	21.3	24	8686	68
2	4892	3530	913	13	33	3906	1446	10690	6790	570	1150	66	83	16	14	8107	66
1	8427	7424	3441	26	59	18676	1715	7550	3224	640	2055	81	88	19.2	22	8420	65
2	472	410	262	14	41	9950	71	7620	3050	400	400	51	53	17	21	3186	54
2	2421	2109	820	27	57	3168	392	11700	5550	600	450	89	90	14.5	28	7738	89
1	5880	4075	2833	25	55	14914	2246	6995	3120	600	2000	76	86	18.5	22	6122	54
2	2212	1538	408	44	75	1445	1	19240	3690	750	480	95	95	11.1	46	14067	88
2	1040	845	286	48	77	967	24	15747	4062	400	800	88	95	12.7	33	13224	79
2	2929	1834	622	20	56	2738	1662	12600	5610	450	3160	90	90	15.1	9	9084	84
2	4010	2402	572	36	59	2018	226	18730	5740	600	1000	93	96	10.5	38	15365	92
1	2336	1725	1043	10	27	5438	4058	4752	3040	508	1463	48	82	18.4	12	5879	26
2	244	198	82	12	33	1134	336	11700	5300	550	805	71	88	27.8	18	8694	58
2	477	417	204	29	54	1532	77	8840	4240	600	1400	58	70	20.8	23	6863	56
2	810	484	356	6	33	2155	191	9200	4800	1000	4200	65	85	24.1	9	3480	100
2	900	473	217	22	47	621	11	4400	3400	800	900	53	93	10.4	16	9268	92
2	4076	3137	738	25	54	3010	184	12990	6300	600	900	86	88	14.7	27	9448	80
2	1891	1698	719	24	80	2740	761	11100	5870	600	750	77	88	11.7	14	9456	53
2	1756	1500	366	3	21	1524	280	12450	5400	450	870	62	66	12.4	24	8832	70
2	2939	1496	452	56	86	1723	113	15909	4772	500	700	85	91	11.9	37	14213	77
2	1004	802	239	23	63	909	51	10440	3850	525	1450	63	72	11.8	20	7940	64
2	2432	1730	563	20	63	2578	254	12370	6800	500	1800	92	92	13.6	25	10062	79
2	499	441	199	26	52	846	377	11200	7400	600	1300	66	79	6.8	50	10819	90
1	4350	2178	756	39	78	2997	736	6490	4942	650	2102	75	80	17.6	30	5358	84
2	478	327	117	9	34	731	370	11510	6450	575	1075	71	93	10.3	30	10502	77
2	695	535	239	21	30	988	785	10200	7000	350	1100	63	76	11.7	20	10622	68
2	941	772	214	10	30	1247	776	11390	5280	500	750	77	82	10.6	17	8575	55
2	1464	888	176	26	52	624	128	11200	4208	500	1642	80	90	11.1	43	8317	51
2	6411	2140	1078	96	99	4481	28	20100	5975	725	1600	99	99	10.1	35	33541	94
2	1002	555	119	16	43	836	684	7680	3740	500	800	70	74	17.7	21	6652	52
2	2286	1668	564	37	70	2943	1260	11985	4081	400	1500	93	95	9.2	15	8995	91
2	1557	1074	397	15	40	1805	433	9813	4050	425	1000	45	63	16.7	29	7307	78
2	1981	1541	514	18	36	1927	1084	12500	6200	375	1000	73	75	16.8	22	8707	80
1	1584	1456	891	6	18	3471	911	5016	3798	540	2256	48	48	28.8	12	3871	59
2	1742	1382	607	30	64	2258	53	10300	5080	475	1200	68	75	14.1	30	7762	89
1	2618	2288	1032	42	77	5524	414	8127	3978	900	1200	82	82	17	25	7473	65
2	331	331	225	15	36	1100	166	6840	3720	1100	4913	33	33	15.4	20	5524	49
1	6011	3075	960	22	60	5146	1532	7844	3830	450	1258	72	74	16.8	20	7832	71
2	1444	1261	456	29	62	1788	95	11910	4378	450	965	60	77	11.4	25	8149	75
2	905	834	319	32	61	1073	179	11320	4402	550	1350	82	89	12.7	38	11218	58
2	594	385	307	36	57	1695	721	5580	2830	600	700	77	79	16.5	18	6170	61
1	1576	1326	913	13	50	3689	2200	3840	2852	200	400	52	54	20.3	9	4172	100
1	572	544	320	45	72	1470	416	6073	3400	550	1400	71	71	16.4	31	6112	74
1	5220	2128	865	19	53	6411	3186	3648	4834	700	950	82	87	21.5	9	6717	58
2	263	223	103	10	24	316	20	8438	3372	500	2958	42	50	11.1	4	11989	15
2	586	533	239	16	36	950	228	10520	3678	500	1000	48	68	13	32	8111	56
2	882	730	330	2	13	926	12	4515	2550	850	2100	53	60	18.6	34	6990	60
2	1800	1314	526	47	79	1891	40	19300	5700	750	750	79	91	9	51	18359	84
2	1321	1159	328	15	36	1243	79	12850	6200	550	900	77	82	12.8	36	8536	80
2	1310	1086	458	26	61	1365	144	12250	3530	400	1150	85	87	16.7	35	7215	81
2	2519	1836	462	30	61	1656	352	16975	4565	600	850	76	86	12.8	39	10888	83
2	513	347	279	23	48	2508	505	9090	4500	650	500	62	65	18.3	2	7905	71
2	947	798	266	36	68	1274	471	10850	5150	550	800	77	93	13.6	24	8797	61
1	1879	1216	483	27	62	3311	1646	8832	5376	700	1850	92	98	13.5	19	12529	72
2	872	722	154	14	36	601	36	10194	2600	500	1500	57	63	11.4	32	5788	83
1	1563	1005	240	1	19	1380	136	5542	4330	500	1000	65	71	14.2	17	6562	57
1	10634	7064	3176	39	78	16505	5481	8400	6540	600	1300	92	98	17.5	21	9670	62
2	812	689	195	7	24	646	84	8242	4230	600	1295	77	77	12.7	11	10090	52
1	2968	2297	1610	13	47	7368	1128	5834	2744	600	2000	79	83	17	24	6310	42
2	465	361	176	19	39	879	156	12580	4345	400	970	76	79	13.1	24	10889	74
2	11901	8492	2517	16	42	11160	10221	13380	7425	600	1750	73	82	12.9	17	9563	46
2	12289	5200	1902	85	98	7450	45	16404	5520	759	1585	96	100	6.8	25	26385	92
2	1743	1625	626	8	29	1862	382	14134	5270	500	800	71	74	13.1	22	9209	63
2	2324	1319	370	52	81	1686	35	16560	5140	558	1152	91	93	10.5	30	16196	79
2	2190	1700	458	36	65	1780	48	16732	5650	550	550	93	93	12.1	32	12011	75
2	776	765	351	22	44	1419	228	6400	3150	500	1900	58	64	16.2	8	6578	45
1	4522	3913	2181	29	57	12830	1658	5336	3344	800	3100	84	92	15.3	14	6433	48
2	943	849	288	41	71	1041	35	14210	3994	450	1100	76	76	10.9	22	11216	42
1	701	501	458	10	40	959	457	2580	2624	500	900	48	100	20.1	24	4870	44
2	1538	1259	468	19	42	1664	1042	11690	5062	600	1664	48	80	12.9	15	8028	68
2	1132	847	302	58	89	1379	214	16200	4200	436	2486	90	90	10.4	14	14329	62
1	2405	2234	1061	10	22	4564	448	4290	3500	598	1582	55	93	19.4	1	5967	35
2	5139	3346	973	20	55	3717	1358	14400	6200	450	1100	66	74	18.4	35	8135	96
2	516	392	154	32	62	630	549	11020	4970	610	1900	73	75	14	36	9315	58
2	1025	707	297	22	66	1070	72	10100	4140	450	1080	69	71	16.3	32	6880	80
1	5702	4894	1742	15	37	8077	472	6684	4110	500	900	73	83	19.6	9	4519	62
1	2088	957	362	6	29	2745	1938	4449	4860	600	1655	74	95	17.8	8	7333	47
2	1771	1325	306	21	46	1071	27	13840	3735	400	900	77	80	10.7	38	11080	74
2	2302	1831	391	58	82	1345	59	15200	4768	550	1500	90	96	10.8	47	13388	77
2	3304	2804	679	10	20	2111	1489	12520	6050	500	730	44	54	16.4	8	7957	61
2	1777	1151	382	31	55	1668	1052	16425	5220	955	750	81	85	13.3	23	11561	90
2	2307	1896	509	19	51	1707	1889	11070	5780	400	600	71	73	14.8	16	7120	82
2	897	718	276	12	48	1345	390	10450	4020	500	1500	56	56	14.1	16	7444	70
2	1046	824	284	21	45	1223	451	10880	5050	400	1235	64	64	19.3	24	7344	69
2	920	684	225	24	42	815	222	11200	4250	600	950	55	60	14.8	19	7360	67
2	833	682	217	12	33	716	2196	9985	5180	500	800	53	89	27.2	8	4322	85
2	292	241	96	20	52	543	712	12200	4600	650	950	87	90	11.2	32	8680	76
2	1910	1380	463	16	64	1715	106	13030	5860	500	750	79	88	14.5	34	10190	84
2	335	284	132	28	69	534	216	10475	6300	500	2000	68	68	11.2	46	9599	60
1	4216	2290	736	20	52	4296	1027	5130	4690	600	1450	73	75	17.9	18	5125	56
2	1680	1395	691	34	76	2959	402	8236	3700	569	1650	74	75	14.7	17	9533	61
2	1109	688	386	20	65	1897	208	8325	5000	1200	1600	14	98	16.1	26	6874	55
2	584	413	131	19	51	521	99	8955	5900	500	1488	51	56	11.8	23	8545	52
2	1183	1016	411	42	82	1922	704	12669	4875	600	1250	83	85	16.8	20	10368	66
2	4576	3565	1000	16	36	4384	1530	12000	6484	650	1000	81	84	14.4	15	10080	64
2	936	794	197	24	56	752	210	11240	4180	350	2000	71	71	11.2	37	10065	71
1	5818	3281	1116	14	53	5268	300	7844	3504	450	1700	80	83	18.8	13	6719	72
2	540	445	165	23	70	1115	111	7210	3600	500	2000	62	65	13.2	18	7356	58
2	1003	782	295	23	53	1144	160	16160	6950	500	1200	74	81	8.9	33	14086	79
2	1016	872	300	27	57	1116	602	11250	4980	550	1400	66	73	15.8	36	7411	70
1	818	700	447	20	50	2962	651	3738	2619	450	1022	55	59	19.6	9	4444	53
2	385	340	193	18	38	784	127	9520	4124	630	1818	63	65	18.6	11	8219	43
1	2540	2195	994	13	40	6063	2550	5472	3598	221	2216	76	81	16.5	8	7498	43
1	6118	5254	3204	15	37	13131	3374	4740	2590	500	1360	70	75	19.9	11	4632	56
1	1047	938	511	13	33	2091	546	4285	2750	600	1800	58	75	16.5	31	6591	51
2	1244	912	352	44	77	1177	43	11850	4675	600	1050	83	89	11.3	35	12995	67
2	3713	1237	443	47	83	1971	107	7000	5565	660	2400	73	80	12.5	18	9988	65
2	1368	1064	354	19	51	1687	677	10570	5600	400	800	86	81	14.5	29	7908	66
2	191	165	63	5	25	494	574	11550	4270	300	500	43	77	14.5	8	9209	40
2	1243	1020	414	33	60	2149	418	8678	3858	700	1736	82	83	16.2	7	7651	72
2	1334	1243	568	30	56	1946	95	12140	4450	425	1100	74	78	15.1	36	8595	88
2	651	581	243	8	17	617	34	5000	3650	600	600	45	45	14	8	8426	45
2	1557	1227	489	37	69	1964	81	12315	4565	600	1365	85	90	12.5	24	10307	73
1	4019	1579	710	23	65	4365	765	3040	4351	711	1125	78	92	19.5	7	5599	64
1	15039	9649	3087	36	100	13963	3124	6550	4731	708	957	90	97	13.6	15	11177	56
1	7294	3564	904	7	34	5758	1363	6550	4460	500	705	79	83	19	14	6632	49
1	5318	3515	1025	8	29	7626	2091	6550	4040	550	1230	71	78	18.7	12	7511	42
1	14474	10519	6392	49	85	31643	2798	5130	3412	600	2144	89	91	23.1	29	8471	69
2	4095	3079	1195	33	64	5064	660	8490	3320	650	2400	81	93	14.8	23	9158	64
1	4345	3245	2604	15	85	5584	3101	7860	3360	600	1700	65	75	18.2	21	3605	10
2	1154	951	253	15	31	791	140	11172	4958	700	1350	68	76	11.6	16	9186	60
2	1262	1102	276	14	40	978	98	9456	4350	468	1323	53	53	12.8	24	7603	65
2	222	185	91	16	41	484	541	11010	5208	550	500	58	78	10.4	26	9586	78
2	2425	1818	601	62	93	2110	95	12240	5150	500	490	94	96	9.6	20	14703	93
2	626	372	145	12	34	983	40	7700	3400	450	800	70	70	21.9	28	4933	52
2	484	384	177	9	45	634	78	7800	2950	500	600	60	88	14.1	9	6864	64
2	3495	1712	528	49	84	1915	123	18732	6204	450	1024	94	96	11.5	49	15411	88
1	3235	3108	2133	25	65	9978	1530	5028	3300	500	2000	73	89	14.8	10	6820	39
1	15698	10775	2478	85	100	12677	864	12024	5302	790	1818	96	96	16.1	11	15934	66
2	682	535	204	22	43	771	611	9500	3540	400	750	26	58	2.5	10	7683	57
2	14446	10516	3252	22	57	14130	4522	10220	4230	530	1300	82	87	18.3	15	10650	75
2	576	558	137	11	39	662	131	10430	3620	400	1500	85	98	16.5	18	8767	45
1	12445	8836	3623	54	85	24470	3286	7090	4180	630	1530	88	97	13.4	20	14737	66
1	8579	5561	3681	25	50	17880	1673	6994	3384	700	2681	88	94	13.7	17	9657	57
1	441	369	172	17	45	633	317	6600	3680	600	400	46	46	15.1	4	5935	64
1	461	381	235	10	40	974	503	6600	3630	400	1675	67	67	15.2	11	6408	35
1	14292	10315	3409	22	53	19340	3991	8723	5146	550	1550	89	92	18.1	12	9021	63
1	1458	874	588	56	86	1846	154	9843	3180	600	1500	74	78	14.6	16	6716	51
1	3844	3383	1669	26	47	7524	804	4916	3810	600	550	81	86	20.3	14	6971	53
1	1618	1141	479	18	54	4793	4552	7246	3964	500	4288	71	73	13.4	15	6433	48
2	452	331	269	17	54	1417	301	6150	3680	550	1200	59	63	16.6	4	5412	52
1	6277	6003	3526	33	63	16454	3171	5595	3145	500	2070	86	92	15.1	48	6813	53
2	1209	750	265	19	54	820	159	11450	5045	900	2500	72	75	11.4	13	9718	64
1	6071	3856	1449	15	67	6635	1145	7558	3680	500	1500	82	85	19.1	15	6005	55
1	2777	2249	1652	20	54	8334	1435	5634	2703	450	1200	97	97	15.9	16	9424	49
1	5530	4007	1697	12	37	8463	1498	7731	4128	540	2286	75	75	21.5	8	6309	40
1	4743	3970	2233	32	63	13436	2582	5173	3526	765	3176	86	90	11.5	11	10244	44
2	5892	2718	756	46	72	2854	594	14500	3285	700	1125	75	89	11.7	32	11984	100
1	285	280	208	21	43	1140	473	3687	1920	600	1800	67	77	23.6	3	3864	43
1	848	560	377	14	24	1855	1412	5800	3066	500	1500	62	62	14.8	3	5035	48
1	7693	5815	2328	30	66	12594	3661	8074	3522	495	2941	84	88	16.9	18	8246	63
1	1401	1239	605	10	34	3716	675	7100	4380	540	2948	63	88	19.4	0	5389	36
1	2379	2133	1292	8	25	4283	2973	4973	3192	500	1425	56	65	22	21	4078	38
1	2850	2044	1046	20	50	9260	1387	4652	2470	500	500	78	99	18.7	23	5917	45
1	14752	9572	5329	48	85	30017	5189	5130	3309	650	3140	91	99	19.7	11	7837	65
1	4217	3100	1686	17	46	9375	5457	4104	5376	452	1200	94	100	25.3	3	4329	50
1	5095	4491	2400	27	53	13894	8374	6857	3975	858	3093	89	93	12.8	9	9275	37
1	12749	7025	3343	40	81	20356	4582	8199	4218	708	2172	96	94	9	10	16527	65
1	1558	1254	472	20	57	3754	2477	6172	3994	541	1387	83	87	23.4	12	8488	53
1	910	910	342	14	53	1434	417	7032	2780	550	1960	75	81	15.2	15	6490	36
1	2029	1516	1073	23	46	7535	1488	5988	3422	600	1500	91	94	15.1	13	8745	45
2	663	452	192	10	35	1481	1160	8840	3060	500	1000	69	75	17.4	19	3733	78
2	7791	4690	1499	71	92	5500	90	17865	6525	630	952	93	98	5.8	26	23850	83
1	4963	3497	1567	18	45	10262	5065	10217	4182	500	3630	81	87	8.7	11	11183	45
2	1847	1610	453	19	59	1298	67	7384	3494	500	1763	51	67	13.7	8	6757	30
2	647	518	271	17	43	1014	387	9140	3365	500	2245	51	65	10.7	31	8050	73
2	440	311	112	25	49	466	7	10000	3052	400	1100	65	75	11.4	20	9430	63
2	1231	1074	345	34	66	1295	105	11600	3610	400	850	66	91	12.4	37	7735	67
2	3315	1096	425	68	93	1584	3	13750	4619	680	1115	81	96	9.6	45	15736	90
2	1209	942	214	31	60	822	46	15276	5318	500	300	79	86	11.2	37	10830	65
1	6540	5839	2440	31	70	14445	1344	8200	4210	800	2719	84	87	16.9	30	10912	56
1	1373	1373	724	6	21	2754	474	2700	2660	540	1660	60	68	20.3	29	4550	52
2	2895	1249	579	80	96	2195	156	18345	5995	500	700	94	98	10.6	51	21409	91
2	980	807	350	10	25	872	448	9890	4674	500	1350	52	57	14.4	15	6243	84
1	6502	3539	1372	11	51	7484	1904	7844	4108	400	2000	76	79	15.3	16	6773	52
1	1164	1062	478	12	25	2138	227	4470	2890	600	1210	33	33	16.3	10	4249	60
2	1650	1471	409	7	21	1803	1116	8994	5500	498	2065	74	97	15.4	15	8409	59
2	662	553	184	20	43	665	37	10720	4050	600	1650	66	70	12.5	20	7925	62
2	917	720	213	21	60	979	743	8820	4050	600	2025	68	83	10.5	34	7170	50
2	1738	1373	417	21	55	1335	30	18460	5970	700	850	92	96	13.2	41	22704	71
2	903	755	213	15	49	971	305	10500	4545	600	600	66	71	14.1	27	7494	72
2	1861	998	359	45	77	1220	46	16670	4900	750	800	80	83	10.5	51	13198	72
1	3325	2047	1301	20	45	5800	872	4200	2700	300	1200	53	60	20.2	18	5318	58
1	2320	1805	769	24	61	3395	670	6400	3392	580	2150	71	80	12.8	26	6729	59
2	1979	1739	575	42	68	1980	144	15948	4404	400	800	82	95	12.8	29	10414	78
2	1501	935	273	51	83	1059	34	12680	4150	605	1440	91	92	15.3	42	7875	75
2	2097	1915	695	34	61	2793	166	6900	4200	617	781	67	75	14.4	20	8323	49
2	10705	2453	1317	95	99	5217	83	19840	6510	630	2115	96	96	5.8	49	40386	99
